AED	Emirati Dirham	2002-06-01 00:00:00.000
AFA	Afghani	2002-06-01 00:00:00.000
ALL	Lek	2002-06-01 00:00:00.000
AMD	Armenian Dram	2002-06-01 00:00:00.000
ANG	Netherlands Antillian Guilder	2002-06-01 00:00:00.000
AOA	Kwanza	2002-06-01 00:00:00.000
ARS	Argentine Peso	2002-06-01 00:00:00.000
ATS	Shilling	2002-06-01 00:00:00.000
AUD	Australian Dollar	2002-06-01 00:00:00.000
AWG	Aruban Guilder	2002-06-01 00:00:00.000
AZM	Azerbaijanian Manat	2002-06-01 00:00:00.000
BBD	Barbados Dollar	2002-06-01 00:00:00.000
BDT	Taka	2002-06-01 00:00:00.000
BEF	Belgian Franc	2002-06-01 00:00:00.000
BGN	Bulgarian Lev	2002-06-01 00:00:00.000
BHD	Bahraini Dinar	2002-06-01 00:00:00.000
BND	Brunei Dollar	2002-06-01 00:00:00.000
BOB	Boliviano	2002-06-01 00:00:00.000
BRL	Brazilian Real	2002-06-01 00:00:00.000
BSD	Bahamian Dollar	2002-06-01 00:00:00.000
BTN	Ngultrum	2002-06-01 00:00:00.000
CAD	Canadian Dollar	2002-06-01 00:00:00.000
CHF	Swiss Franc	2002-06-01 00:00:00.000
CLP	Chilean Peso	2002-06-01 00:00:00.000
CNY	Yuan Renminbi	2002-06-01 00:00:00.000
COP	Colombian Peso	2002-06-01 00:00:00.000
CRC	Costa Rican Colon	2002-06-01 00:00:00.000
CYP	Cyprus Pound	2002-06-01 00:00:00.000
CZK	Czech Koruna	2002-06-01 00:00:00.000
DEM	Deutsche Mark	2002-06-01 00:00:00.000
DKK	Danish Krone	2002-06-01 00:00:00.000
DOP	Dominican Peso	2002-06-01 00:00:00.000
DZD	Algerian Dinar	2002-06-01 00:00:00.000
EEK	Kroon	2002-06-01 00:00:00.000
EGP	Egyptian Pound	2002-06-01 00:00:00.000
ESP	Spanish Peseta	2002-06-01 00:00:00.000
EUR	EURO	2002-06-01 00:00:00.000
FIM	Markka	2002-06-01 00:00:00.000
FJD	Fiji Dollar	2002-06-01 00:00:00.000
FRF	French Franc	2002-06-01 00:00:00.000
GBP	United Kingdom Pound	2002-06-01 00:00:00.000
GHC	Cedi	2002-06-01 00:00:00.000
GRD	Drachma	2002-06-01 00:00:00.000
GTQ	Quetzal	2002-06-01 00:00:00.000
HKD	Hong Kong Dollar	2002-06-01 00:00:00.000
HRK	Croatian Kuna	2002-06-01 00:00:00.000
HUF	Forint	2002-06-01 00:00:00.000
IDR	Rupiah	2002-06-01 00:00:00.000
